Dataset,Missing_Mechanism,Imputation_Method,Accuracy,Precision,Recall,F1_Score,Accuracy_Distance,Precision_Distance,Recall_Distance,F1_Distance
original_full_dataset,NONE,ORIGINAL,0.8551401869158879,0.8588697222972913,0.8551401869158879,0.8536451449823731,0.0,0.0,0.0,0.0
knn_data_mnar,MNAR,KNN,0.7453271028037384,0.7599277858437838,0.7453271028037384,0.7454351760658405,0.10981308411214952,0.09894193645350746,0.10981308411214952,0.10820996891653256
gan_data_mcar,MCAR,GAN,0.7059412550066756,0.7104453968016139,0.7059412550066756,0.6982187966924522,0.1491989319092123,0.1484243254956774,0.1491989319092123,0.15542634828992086
locf_data_mar,MAR,LOCF,0.8751668891855807,0.8805730889748602,0.8751668891855807,0.873697521781478,0.02002670226969283,0.02170336667756889,0.02002670226969283,0.020052376799104876
interpolated_data_mnar,MNAR,INTERPOLATED,0.8691588785046729,0.8735222460027812,0.8691588785046729,0.867767272404394,0.014018691588784993,0.014652523705489862,0.014018691588784993,0.014122127422020903
locf_data_mnar,MNAR,LOCF,0.8604806408544726,0.8629282703463531,0.8604806408544726,0.859352950041774,0.005340453938584733,0.004058548049061805,0.005340453938584733,0.005707805059400939
knn_data_mar,MAR,KNN,0.7313084112149533,0.7326028791076273,0.7313084112149533,0.7275202015790713,0.12383177570093462,0.12626684318966397,0.12383177570093462,0.12612494340330183
gan_data_mar,MAR,GAN,0.7463284379172229,0.7456612687978282,0.7463284379172229,0.7452177917477567,0.10881174899866497,0.11320845349946307,0.10881174899866497,0.10842735323461639
gan_data_mnar,MNAR,GAN,0.7393190921228304,0.7392319202299296,0.7393190921228304,0.7392734399835841,0.11582109479305747,0.11963780206736174,0.11582109479305747,0.11437170499878901
knn_data_mcar,MCAR,KNN,0.7586782376502003,0.7640157009043402,0.7586782376502003,0.7538653720783318,0.09646194926568763,0.09485402139295107,0.09646194926568763,0.09977977290404128
interpolated_data_mcar,MCAR,INTERPOLATED,0.8694926568758344,0.8729474368794383,0.8694926568758344,0.8682758644800055,0.014352469959946546,0.014077714582147016,0.014352469959946546,0.014630719497632394
interpolated_data_mar,MAR,INTERPOLATED,0.8825100133511349,0.8860373607374938,0.8825100133511349,0.8814583360468075,0.02736982643524699,0.027167638440202535,0.02736982643524699,0.02781319106443436
locf_data_mcar,MCAR,LOCF,0.8681575433911882,0.8726633849576864,0.8681575433911882,0.8667237710413086,0.013017356475300335,0.013793662660395056,0.013017356475300335,0.013078626058935505
